SR T Gl W HmDs	HmUBp	HmaxUB  	TrDs	TrUBp	TrUB    	TIFgap	LimCIPF	Time	STATUS
c4 8 4  1 0.500	1.180	2405.089	1.000	2.226	7865.792	0.500	67.369	0.150	infeasible
c2 6 1  2 1.000	1.120	6636.342	1.500	1.931	24960.654	0.500	57.773	54.780	infeasible
c2 6 2  2 0.000	1.290	3822.214	1.500	2.033	7972.642	0.500	57.773	12.600	infeasible
c2 6 3  2 0.500	1.241	2451.737	1.000	2.212	5231.979	0.500	57.773	11.050	infeasible
c4 8 1  2 2.000	1.109	9040.528	2.500	1.924	51660.776	0.500	67.369	10000.030	time_out
c4 8 2  2 0.000	1.195	4870.217	1.500	2.140	16468.432	0.500	67.369	751.240	infeasible
c4 8 3  2 0.000	1.302	3536.931	1.000	2.189	10882.278	0.500	67.369	287.550	infeasible
c4 8 4  2 0.500	1.180	2405.089	1.000	2.226	7865.792	0.500	67.369	221.680	infeasible
c2 6 1  3 1.000	1.120	6636.342	1.500	1.931	24960.654	0.500	57.773	95.480	infeasible
c2 6 2  3 0.000	1.290	3822.214	1.500	2.033	7972.642	0.500	57.773	40.680	infeasible
c2 6 3  3 0.500	1.241	2451.737	1.000	2.212	5231.979	0.500	57.773	29.710	infeasible
c4 8 1  3 2.000	1.109	9040.528	2.500	1.924	51660.776	0.500	67.369	10000.050	time_out
c4 8 2  3 0.000	1.195	4870.217	1.500	2.140	16468.432	0.500	67.369	10000.030	time_out
c4 8 3  3 0.000	1.302	3536.931	1.000	2.189	10882.278	0.500	67.369	720.000	SCIPcrash
c4 8 4  3 0.500	1.180	2405.089	1.000	2.226	7865.792	0.500	67.369	521.640	infeasible
c2 6 1  4 1.000	1.120	6636.342	1.500	1.931	24960.654	0.500	57.773	256.060	infeasible
c2 6 2  4 0.000	1.290	3822.214	1.500	2.033	7972.642	0.500	57.773	43.300	infeasible
c2 6 3  4 0.500	1.241	2451.737	1.000	2.212	5231.979	0.500	57.773	49.970	infeasible
c4 8 1  4 2.000	1.109	9040.528	2.500	1.924	51660.776	0.500	67.369	10000.040	time_out
c4 8 2  4 0.000	1.195	4870.217	1.500	2.140	16468.432	0.500	67.369	10000.040	time_out
c4 8 3  4 0.000	1.302	3536.931	1.000	2.189	10882.278	0.500	67.369	988.410	infeasible
c4 8 4  4 0.500	1.180	2405.089	1.000	2.226	7865.792	0.500	67.369	10000.050	time_out
c2 6 1  5 1.000	1.120	6636.342	1.500	1.931	24960.654	0.500	57.773	310.690	infeasible
c2 6 2  5 0.000	1.290	3822.214	1.500	2.033	7972.642	0.500	57.773	78.440	infeasible
c2 6 3  5 0.500	1.241	2451.737	1.000	2.212	5231.979	0.500	57.773	34.260	infeasible
c4 8 1  5 2.000	1.109	9040.528	2.500	1.924	51660.776	0.500	67.369	10000.050	time_out
c4 8 2  5 0.000	1.195	4870.217	1.500	2.140	16468.432	0.500	67.369	401.790	infeasible
c4 8 3  5 0.000	1.302	3536.931	1.000	2.189	10882.278	0.500	67.369	1940.610	infeasible
c4 8 4  5 0.500	1.180	2405.089	1.000	2.226	7865.792	0.500	67.369	1696.470	infeasible
bk 5 2  1 0.500	1.446	6433.653	0.500	1.267	18088.045	0.500	86.147	0.060	infeasible
bk 5 2  1 0.500	1.446	6433.653	0.500	1.267	18088.045	0.600	68.918	0.030	infeasible
bk 5 2  1 0.500	1.446	6433.653	0.500	1.267	18088.045	0.700	51.688	0.010	infeasible
bk 5 1  1 1.000	1.982	17636.357	1.000	1.158	51436.728	0.800	34.459	0.020	infeasible
bk 5 2  1 0.500	1.446	6433.653	0.500	1.267	18088.045	0.800	34.459	0.030	infeasible
bk 5 1  2 1.000	1.982	17636.357	1.000	1.158	51436.728	0.800	34.459	0.070	infeasible
bk 5 2  2 0.500	1.446	6433.653	0.500	1.267	18088.045	0.800	34.459	0.040	infeasible
bk 5 1  3 1.000	1.982	17636.357	1.000	1.158	51436.728	0.800	34.459	0.110	infeasible
bk 5 2  3 0.500	1.446	6433.653	0.500	1.267	18088.045	0.800	34.459	0.150	infeasible
bk 5 1  4 1.000	1.982	17636.357	1.000	1.158	51436.728	0.800	34.459	0.150	infeasible
bk 5 2  4 0.500	1.446	6433.653	0.500	1.267	18088.045	0.800	34.459	0.230	infeasible
bk 5 1  5 1.000	1.982	17636.357	1.000	1.158	51436.728	0.800	34.459	0.220	infeasible
bk 5 2  5 0.500	1.446	6433.653	0.500	1.267	18088.045	0.800	34.459	0.300	infeasible
